ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,Assigned To,State,Tags
"441,""Task"",,,,""Prikazati rezultat uređivanja"",,""New"","
"507,""Test Case"",,,,""Uspješno dodavanje novog kolegija"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"508,""Test Case"",,,,""Dodavanje kolegija s praznim poljima"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"442,""User Story"",,,""Kao administrator mogu brisati postojeće kolegije"",,,""New"","
"443,""Task"",,,,""Implementirati backend brisanje kolegija"",,""New"","
"444,""Task"",,,,""Dodati akciju brisanja na frontend prikaz"",,""New"","
"445,""Task"",,,,""Dodati potvrdu prije brisanja"",,""New"","
"509,""Test Case"",,,,""Brisanje kolegija"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"446,""Epic"",""Obavijesti tab"",,,,,""New"","
"447,""Feature"",,""Pregled obavijesti"",,,,""New"","
"448,""User Story"",,,""Kao korisnik mogu vidjeti popis obavijesti i kolegije za koji su vezane"",,,""New"","
"449,""Task"",,,,""Implementirati dohvat obavijesti iz baze"",,""New"","
"450,""Task"",,,,""Izraditi frontend prikaz obavijesti"",,""New"","
"451,""Task"",,,,""Sortirati obavijesti po datumu"",,""New"","
"510,""Test Case"",,,,""Prikaz obavijesti"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"452,""User Story"",,,""Kao korisnik mogu vidjeti je li obavijest aktivna ili je istekla"",,,""New"","
"453,""Task"",,,,""Dodati datume obavijesti u model podataka"",,""New"","
"454,""Task"",,,,""Implementirati logiku statusa obavijesti"",,""New"","
"455,""Task"",,,,""Prikazati vizualnu oznaku statusa"",,""New"","
"511,""Test Case"",,,,""Prikaz aktivnih i isteklih obavijesti"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"456,""Feature"",,""Dodavanje, uređivanje i brisanje obavijesti"",,,,""New"","
"457,""User Story"",,,""Kao korisnik mogu dodati novu obavijest vezanu za određeni kolegij"",,,""New"","
"458,""Task"",,,,""Implementirati backend dodavanje obavijesti"",,""New"","
"459,""Task"",,,,""Izraditi formu za dodavanje obavijesti"",,""New"","
"460,""Task"",,,,""Validirati podatke obavijesti"",,""New"","
"461,""Task"",,,,""Ograničiti dostupne kolegije za predavača"",,""New"","
"462,""Task"",,,,""Prilagoditi frontend formu ulozi korisnika"",,""New"","
"512,""Test Case"",,,,""Uspješno dodavanje obavijesti"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"463,""User Story"",,,""Kao korisnik mogu uređivati postojeće obavijesti"",,,""New"","
"464,""Task"",,,,""Implementirati backend uređivanje obavijesti"",,""New"","
"465,""Task"",,,,""Izraditi formu za uređivanje obavijesti"",,""New"","
"466,""Task"",,,,""Provjeriti pravo uređivanja"",,""New"","
"467,""Task"",,,,""Sakriti akcije uređivanja za nedopuštene obavijesti"",,""New"","
"513,""Test Case"",,,,""Uspješno uređivanje obavijesti"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"468,""User Story"",,,""Kao korisnik mogu brisati već postojeće obavijesti"",,,""New"","
"469,""Task"",,,,""Implementirati backend brisanje obavijesti"",,""New"","
"470,""Task"",,,,""Dodati akciju brisanja na frontend"",,""New"","
"471,""Task"",,,,""Dodati potvrdu prije brisanja"",,""New"","
"514,""Test Case"",,,,""Uspješno brisanje obavijesti"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"515,""Test Case"",,,,""Odustajanje od brisanja obavijesti"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"472,""Epic"",""Predavači tab"",,,,,""New"","
"473,""Feature"",,""Pregled predavača i korisnika"",,,,""New"","
"474,""User Story"",,,""Jedino kao administrator vidim i imam pristup stranici predavači"",,,""New"","
"475,""Task"",,,,""Sakriti link Predavači korisnicima bez prava"",,""New"","
"476,""Task"",,,,""Zaštititi backend funkcionalnosti za korisnike"",,""New"","
"516,""Test Case"",,,,""Uspješan pristup stranici predavači"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"477,""User Story"",,,""Kao administrator mogu vijdeti popis svih korisnika i jednostavno razlikovati njihove uloge"",,,""New"","
"478,""Task"",,,,""Implementirati dohvat korisnika iz baze"",,""New"","
"479,""Task"",,,,""Izraditi frontend prikaz predavača"",,""New"","
"480,""Task"",,,,""Vizualno označiti različite uloge"",,""New"","
"517,""Test Case"",,,,""Pregled uloga korisnika"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"481,""Feature"",,""Dodavanje, uređivanje i brisanje korisnika"",,,,""New"","
"482,""User Story"",,,""Kao administrator mogu dodavati nove korisnike"",,,""New"","
"484,""Task"",,,,""Implementirati backend dodavanje korisnika"",,""New"","
"485,""Task"",,,,""Izraditi formu za dodavanje korisnika"",,""New"","
"486,""Task"",,,,""Poslati podatke korisnika backendu"",,""New"","
"487,""Task"",,,,""Dodati validaciju korisničke forme"",,""New"","
"488,""Task"",,,,""Prikazati rezultat dodavanja korisnika"",,""New"","
"518,""Test Case"",,,,""Uspješno dodavanje novog korisnika"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"489,""User Story"",,,""Kao administrator mogu uređivati postojeće korisnike"",,,""New"","
"490,""Task"",,,,""Implementirati dohvat korisnika za uređivanje"",,""New"","
"491,""Task"",,,,""Izraditi frontend formu za uređivanje korisnika"",,""New"","
"492,""Task"",,,,""Implementirati spremanje izmjena korisnika"",,""New"","
"493,""Task"",,,,""Primijeniti novu ulogu nakon prijave"",,""New"","
"519,""Test Case"",,,,""Uspješno uređivanje podataka korisnika"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"494,""User Story"",,,""Kao administrator mogu brisati postojeće korisnike"",,,""New"","
"495,""Task"",,,,""Implementirati backend brisanje korisnika"",,""New"","
"496,""Task"",,,,""Dodati akciju brisanja u frontend prikaz"",,""New"","
"497,""Task"",,,,""Dodati potvrdu prije brisanja korisnika"",,""New"","
"520,""Test Case"",,,,""Uspješno brisanje korisnika"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
